name	type	units	low_cutoff	high_cutoff	sampling_frequency	status
e161	EEG	V	0.1	n/a	8000	bad
e162	EEG	V	0.1	n/a	8000	bad
e163	EEG	V	0.1	n/a	8000	bad
e164	EEG	V	0.1	n/a	8000	good
e165	EEG	V	0.1	n/a	8000	good
e166	EEG	V	0.1	n/a	8000	good
e167	EEG	V	0.1	n/a	8000	good
e168	EEG	V	0.1	n/a	8000	good
e169	EEG	V	0.1	n/a	8000	good
e170	EEG	V	0.1	n/a	8000	good
e171	EEG	V	0.1	n/a	8000	good
e172	EEG	V	0.1	n/a	8000	good
e173	EEG	V	0.1	n/a	8000	good
e174	EEG	V	0.1	n/a	8000	good
e175	EEG	V	0.1	n/a	8000	good
e176	EEG	V	0.1	n/a	8000	good
e177	EEG	V	0.1	n/a	8000	good
e178	EEG	V	0.1	n/a	8000	good
e179	EEG	V	0.1	n/a	8000	good
e180	EEG	V	0.1	n/a	8000	good
e181	EEG	V	0.1	n/a	8000	good
e182	EEG	V	0.1	n/a	8000	good
e183	EEG	V	0.1	n/a	8000	good
e184	EEG	V	0.1	n/a	8000	good
e185	EEG	V	0.1	n/a	8000	good
e186	EEG	V	0.1	n/a	8000	good
e187	EEG	V	0.1	n/a	8000	good
e188	EEG	V	0.1	n/a	8000	good
e189	EEG	V	0.1	n/a	8000	good
e190	EEG	V	0.1	n/a	8000	good
e191	EEG	V	0.1	n/a	8000	good
e192	EEG	V	0.1	n/a	8000	good
e193	EEG	V	0.1	n/a	8000	good
e194	EEG	V	0.1	n/a	8000	bad
e195	EEG	V	0.1	n/a	8000	good
e196	EEG	V	0.1	n/a	8000	good
e197	EEG	V	0.1	n/a	8000	good
e198	EEG	V	0.1	n/a	8000	good
e199	EEG	V	0.1	n/a	8000	good
e200	EEG	V	0.1	n/a	8000	good
e201	EEG	V	0.1	n/a	8000	good
e202	EEG	V	0.1	n/a	8000	good
e203	EEG	V	0.1	n/a	8000	good
e204	EEG	V	0.1	n/a	8000	good
e205	EEG	V	0.1	n/a	8000	good
e206	EEG	V	0.1	n/a	8000	good
e207	EEG	V	0.1	n/a	8000	good
e208	EEG	V	0.1	n/a	8000	good
e209	EEG	V	0.1	n/a	8000	bad
e210	EEG	V	0.1	n/a	8000	bad
e211	EEG	V	0.1	n/a	8000	good
e212	EEG	V	0.1	n/a	8000	good
e213	EEG	V	0.1	n/a	8000	good
e214	EEG	V	0.1	n/a	8000	good
e215	EEG	V	0.1	n/a	8000	good
e216	EEG	V	0.1	n/a	8000	bad
e217	EEG	V	0.1	n/a	8000	good
e218	EEG	V	0.1	n/a	8000	good
e219	EEG	V	0.1	n/a	8000	bad
e220	EEG	V	0.1	n/a	8000	bad
e221	EEG	V	0.1	n/a	8000	good
e222	EEG	V	0.1	n/a	8000	good
e223	EEG	V	0.1	n/a	8000	good
e224	EEG	V	0.1	n/a	8000	good
e225	EEG	V	0.1	n/a	8000	good
e226	EEG	V	0.1	n/a	8000	good
e227	EEG	V	0.1	n/a	8000	good
e228	EEG	V	0.1	n/a	8000	good
e229	EEG	V	0.1	n/a	8000	good
e230	EEG	V	0.1	n/a	8000	good
e231	EEG	V	0.1	n/a	8000	good
e232	EEG	V	0.1	n/a	8000	good
e233	EEG	V	0.1	n/a	8000	good
e234	EEG	V	0.1	n/a	8000	good
e235	EEG	V	0.1	n/a	8000	good
e236	EEG	V	0.1	n/a	8000	good
e237	EEG	V	0.1	n/a	8000	good
e238	EEG	V	0.1	n/a	8000	good
e239	EEG	V	0.1	n/a	8000	good
e240	EEG	V	0.1	n/a	8000	bad
e241	EEG	V	0.1	n/a	8000	good
e242	EEG	V	0.1	n/a	8000	good
e243	EEG	V	0.1	n/a	8000	good
e244	EEG	V	0.1	n/a	8000	good
e245	EEG	V	0.1	n/a	8000	good
e246	EEG	V	0.1	n/a	8000	good
e247	EEG	V	0.1	n/a	8000	good
e248	EEG	V	0.1	n/a	8000	good
e249	EEG	V	0.1	n/a	8000	good
e250	EEG	V	0.1	n/a	8000	good
e251	EEG	V	0.1	n/a	8000	good
e252	EEG	V	0.1	n/a	8000	good
e253	EEG	V	0.1	n/a	8000	good
e254	EEG	V	0.1	n/a	8000	good
e255	EEG	V	0.1	n/a	8000	good
e256	EEG	V	0.1	n/a	8000	good
